User_ID,Session_ID,Event,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag,timestamp
USR00001,SES00001,browse,Desktop,West,Organic,Home,0.0,yes,"2025-10-28 07:33:50"
USR00002,SES00002,purchase,Mobile,North,"Google Ads",Sports,448.18,no,"2025-10-19 09:27:10"
USR00008,SES00008,add_to_cart,Desktop,East,Email,Fashion,0.0,no,"2025-10-20 00:00:00"
USR00013,SES00013,purchase,Desktop,South,Email,Home,0,no,"2025-10-24 09:40:53"
USR00014,SES00014,purchase,Tablet,North,"Social Media",Home,948.09,no,"2025-10-30 17:25:50"
USR00016,SES00016,checkout,Desktop,West,"Google Ads",Sports,0.0,yes,"2025-10-26 18:03:29"
USR00018,SES00018,browse,Mobile,East,Organic,Sports,0.0,yes,"2025-10-19 23:13:10"
USR00020,SES00020,browse,Desktop,West,Email,Electronics,0.0,yes,"2025-10-27 12:48:22"
USR00021,SES00021,browse,Desktop,South,"Social Media",Fashion,0.0,yes,"2025-10-08 22:04:33"
USR00022,SES00022,checkout,Tablet,West,"Social Media",Electronics,0,yes,"2025-10-12 05:35:26"
USR00024,SES00024,add_to_cart,Tablet,East,Organic,Home,0.0,yes,"2025-10-08 17:12:15"
USR00025,SES00025,add_to_cart,Tablet,North,"Social Media",Beauty,0.0,yes,"2025-10-11 21:36:06"
USR00026,SES00026,purchase,Desktop,South,"Google Ads",Fashion,522.19,no,"2025-10-28 01:44:26"
USR00031,SES00031,purchase,Desktop,West,"Google Ads",Electronics,952.45,no,"2025-10-31 06:53:07"
USR00035,SES00035,add_to_cart,Desktop,South,Organic,Fashion,0.0,yes,"2025-10-24 17:20:11"
USR00038,SES00038,browse,Tablet,North,"Google Ads",Beauty,0.0,yes,"2025-10-20 00:00:00"
USR00039,SES00039,browse,Desktop,East,Email,Sports,0.0,yes,"2025-10-20 00:00:00"
USR00044,SES00044,add_to_cart,Unknown,West,Email,Beauty,0,yes,"2025-10-26 13:42:42"
USR00046,SES00046,browse,Tablet,East,Email,Electronics,0.0,yes,"2025-10-20 00:00:00"
USR00052,SES00052,browse,Mobile,East,"Social Media",Home,0.0,yes,"2025-10-15 16:03:13"
USR00054,SES00054,browse,Desktop,West,"Google Ads",Home,0.0,yes,"2025-10-09 07:40:27"
USR00056,SES00056,browse,Tablet,Unknown,Email,Sports,0.0,yes,"2025-10-12 03:30:45"
USR00058,SES00058,checkout,Tablet,South,Organic,Electronics,0.0,yes,"2025-10-18 16:11:50"
USR00059,SES00059,browse,Mobile,South,Email,Fashion,0.0,yes,"2025-10-17 21:18:06"
USR00060,SES00060,browse,Tablet,West,Organic,Sports,0.0,no,"2025-10-05 23:25:11"
USR00061,SES00061,add_to_cart,Desktop,East,Email,Beauty,0.0,yes,"2025-10-02 19:23:58"
USR00062,SES00062,checkout,Tablet,East,Email,Electronics,0.0,no,"2025-10-28 19:12:39"
USR00063,SES00063,browse,Mobile,West,"Google Ads",Electronics,0.0,yes,"2025-10-04 06:45:35"
USR00064,SES00064,browse,Tablet,West,Email,Sports,0,yes,"2025-10-03 20:40:36"
USR00067,SES00067,add_to_cart,Desktop,West,Email,Sports,0.0,yes,"2025-10-11 07:35:15"
USR00077,SES00077,add_to_cart,Tablet,East,Email,Electronics,0,yes,"2025-10-07 10:56:27"
USR00083,SES00083,browse,Mobile,East,"Social Media",Electronics,0.0,yes,"2025-10-16 23:48:29"
USR00088,SES00088,add_to_cart,Tablet,West,"Social Media",Electronics,0,yes,"2025-10-30 05:15:02"
USR00089,SES00089,add_to_cart,Tablet,North,"Google Ads",Beauty,0,yes,"2025-10-16 11:13:31"
USR00091,SES00091,browse,Desktop,East,Email,Home,0.0,yes,"2025-10-12 15:30:36"
USR00094,SES00094,browse,Mobile,East,"Google Ads",Electronics,0.0,yes,"2025-10-13 01:06:18"
USR00095,SES00095,add_to_cart,Tablet,South,"Social Media",Beauty,0.0,yes,"2025-10-08 17:09:04"
USR00096,SES00096,browse,Tablet,South,Organic,Fashion,0.0,yes,"2025-10-20 16:29:51"
USR00100,SES00100,add_to_cart,Mobile,East,Email,Beauty,0.0,yes,"2025-10-31 13:58:19"
USR00101,SES00101,browse,Unknown,North,Organic,Home,0.0,yes,"2025-10-16 04:11:54"
USR00102,SES00102,browse,Desktop,North,Email,Fashion,0.0,yes,"2025-10-07 15:29:38"
USR00107,SES00107,add_to_cart,Unknown,South,"Google Ads",Fashion,0.0,no,"2025-10-18 10:16:00"
USR00112,SES00112,add_to_cart,Tablet,East,"Social Media",Home,0,yes,"2025-10-10 00:27:10"
USR00113,SES00113,browse,Desktop,South,Organic,Fashion,0.0,yes,"2025-10-30 06:54:52"
USR00115,SES00115,add_to_cart,Desktop,Unknown,"Google Ads",Sports,0.0,yes,"2025-10-09 18:00:46"
USR00122,SES00122,checkout,Tablet,East,Email,Fashion,0.0,yes,"2025-10-20 00:00:00"
USR00128,SES00128,checkout,Unknown,West,Email,Home,0.0,no,"2025-10-25 00:47:41"
USR00129,SES00129,checkout,Mobile,East,"Social Media",Sports,0.0,no,"2025-10-07 23:16:34"
USR00132,SES00132,add_to_cart,Mobile,West,Organic,Electronics,0.0,yes,"2025-10-30 18:30:36"
USR00133,SES00133,checkout,Tablet,West,"Social Media",Beauty,0.0,yes,"2025-10-06 13:43:21"
USR00134,SES00134,browse,Tablet,West,Email,Sports,0.0,yes,"2025-10-24 21:25:48"
USR00135,SES00135,browse,Mobile,South,"Google Ads",Sports,0.0,yes,"2025-10-17 02:55:36"
USR00142,SES00142,add_to_cart,Mobile,North,Organic,Home,0.0,yes,"2025-10-29 03:02:13"
USR00143,SES00143,browse,Unknown,Unknown,"Google Ads",Electronics,0.0,yes,"2025-10-11 06:52:10"
USR00145,SES00145,browse,Desktop,East,Email,Beauty,0,yes,"2025-10-12 16:40:54"
USR00148,SES00148,add_to_cart,Unknown,East,Organic,Beauty,0.0,yes,"2025-10-20 00:00:00"
USR00149,SES00149,checkout,Mobile,Unknown,"Social Media",Home,0.0,yes,"2025-10-05 14:15:35"
USR00150,SES00150,browse,Unknown,North,"Social Media",Beauty,0.0,yes,"2025-10-03 05:11:45"
USR00154,SES00154,purchase,Unknown,West,"Social Media",Electronics,220.72,no,"2025-10-25 10:37:37"
USR00155,SES00155,checkout,Desktop,West,Organic,Fashion,0.0,yes,"2025-10-04 11:06:44"
USR00156,SES00156,add_to_cart,Tablet,East,Email,Beauty,0.0,yes,"2025-10-11 10:52:08"
USR00159,SES00159,browse,Tablet,South,Email,Fashion,0.0,yes,"2025-10-16 21:40:06"
USR00162,SES00162,add_to_cart,Desktop,South,Organic,Electronics,0.0,yes,"2025-10-01 23:02:54"
USR00163,SES00163,browse,Tablet,West,"Google Ads",Sports,0.0,yes,"2025-10-20 23:50:02"
USR00165,SES00165,add_to_cart,Desktop,North,Organic,Beauty,0,yes,"2025-10-27 05:36:47"
USR00166,SES00166,browse,Desktop,South,"Social Media",Fashion,0.0,yes,"2025-10-04 13:05:10"
USR00172,SES00172,add_to_cart,Desktop,South,Email,Electronics,0.0,yes,"2025-10-05 10:32:14"
USR00173,SES00173,purchase,Desktop,East,"Social Media",Beauty,1424.95,no,"2025-10-20 00:00:00"
USR00174,SES00174,add_to_cart,Unknown,North,Organic,Sports,0.0,yes,"2025-10-15 13:10:06"
USR00175,SES00175,browse,Mobile,West,Organic,Sports,0.0,yes,"2025-10-07 15:59:53"
USR00180,SES00180,checkout,Mobile,East,Organic,Home,0.0,yes,"2025-10-27 01:43:18"
USR00182,SES00182,checkout,Desktop,West,"Social Media",Beauty,0,yes,"2025-10-18 06:29:10"
USR00186,SES00186,browse,Tablet,West,Organic,Electronics,0.0,yes,"2025-10-19 22:47:21"
USR00187,SES00187,browse,Mobile,East,"Google Ads",Beauty,0.0,yes,"2025-10-17 19:24:48"
USR00188,SES00188,add_to_cart,Desktop,South,Email,Home,0,yes,"2025-10-22 00:25:03"
USR00189,SES00189,browse,Desktop,East,Organic,Sports,0.0,yes,"2025-10-07 10:08:51"
USR00195,SES00195,add_to_cart,Tablet,South,"Social Media",Electronics,0.0,yes,"2025-10-12 20:03:30"
USR00197,SES00197,browse,Desktop,East,"Google Ads",Fashion,0.0,no,"2025-10-14 10:19:08"
USR00199,SES00199,browse,Tablet,North,Organic,Sports,0.0,yes,"2025-10-06 08:23:38"
USR00200,SES00200,add_to_cart,Unknown,East,Email,Beauty,0.0,yes,"2025-10-30 08:23:24"
USR00202,SES00202,browse,Tablet,East,Email,Sports,0.0,yes,"2025-10-09 20:49:23"
USR00205,SES00205,checkout,Unknown,West,"Social Media",Fashion,0,yes,"2025-10-18 20:55:38"
USR00208,SES00208,add_to_cart,Tablet,South,Email,Fashion,0.0,yes,"2025-10-19 06:19:53"
USR00210,SES00210,add_to_cart,Desktop,East,Organic,Sports,0.0,yes,"2025-10-27 11:21:08"
USR00211,SES00211,checkout,Desktop,Unknown,Email,Electronics,0,no,"2025-10-27 04:01:14"
USR00215,SES00215,checkout,Unknown,East,Email,Beauty,0.0,no,"2025-10-26 23:26:42"
USR00218,SES00218,purchase,Tablet,North,"Social Media",Home,905.64,no,"2025-10-22 12:09:22"
USR00219,SES00219,purchase,Mobile,North,"Google Ads",Home,1769.81,no,"2025-10-25 08:35:04"
USR00221,SES00221,checkout,Desktop,Unknown,Organic,Beauty,0.0,yes,"2025-10-31 17:10:27"
USR00223,SES00223,browse,Desktop,East,Email,Beauty,0.0,yes,"2025-10-31 18:56:52"
USR00224,SES00224,checkout,Desktop,West,Email,Electronics,0.0,yes,"2025-10-12 02:57:55"
USR00230,SES00230,add_to_cart,Tablet,South,"Google Ads",Fashion,0.0,yes,"2025-10-20 10:26:24"
USR00231,SES00231,checkout,Tablet,East,Email,Electronics,0.0,yes,"2025-10-30 12:57:23"
USR00236,SES00236,purchase,Tablet,North,"Google Ads",Fashion,400.13,no,"2025-10-12 10:55:40"
USR00237,SES00237,purchase,Desktop,South,Email,Beauty,1696.7,no,"2025-10-24 21:42:55"
USR00247,SES00247,add_to_cart,Unknown,West,Organic,Fashion,0.0,yes,"2025-10-04 00:55:18"
USR00249,SES00249,add_to_cart,Unknown,East,"Google Ads",Fashion,0.0,yes,"2025-10-28 02:44:20"
USR00253,SES00253,browse,Desktop,West,"Google Ads",Beauty,0,yes,"2025-10-16 23:56:59"
USR00254,SES00254,add_to_cart,Mobile,South,Organic,Fashion,0.0,yes,"2025-10-04 12:30:26"
USR00255,SES00255,browse,Desktop,East,Email,Fashion,0.0,yes,"2025-10-23 10:42:56"
USR00257,SES00257,browse,Desktop,West,Organic,Electronics,0.0,yes,"2025-10-18 09:20:02"
