User_ID,Session_ID,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag
USR09880,SES09880,Browse,2025-10-21 11:32:37,Desktop,,Social Media,Fashion,0.0,Yes
USR01960,SES01960,CHECKOUT,2025-10-30 12:33:21,Desktop,North,Organic,Electronics,0.0,Yes
USR02833,SES02833,browse,2025-10-20 15:44:58,,South,Social Media,Electronics,0.0,Yes
USR09650,SES09650,purchase,2025-10-22 07:46:03,,North,Google Ads,Fashion,727.17,No
USR02376,SES02376,add to cart,2025-10-23 22:20:59,Tablet,North,Google Ads,Sports,,No
USR02018,SES02018,Browse,2025-10-18 22:12:40,Tablet,East,Organic,Beauty,0.0,Yes
USR06739,SES06739,Add to Cart,2025-10-03 02:15:41,Desktop,West,Email,Home,0.0,Yes
USR03501,SES03501,Browse,2025-10-19 21:57:19,Desktop,,Social Media,Fashion,,Yes
USR08073,SES08073,add to cart,2025-10-16 10:06:11,Desktop,East,Google Ads,Sports,0.0,Yes
USR06262,SES06262,Add to Cart,2025-10-21 07:47:37,Desktop,South,Organic,Home,0.0,Yes
USR05319,SES05319,Browse,10/20/2025,,North,Social Media,Sports,0.0,Yes
USR02003,SES02003,ADD TO CART,2025-10-10 19:08:21,Tablet,West,Email,Fashion,0.0,Yes
USR04444,SES04444,Browse,2025-10-15 03:18:32,,,Google Ads,Electronics,0.0,Yes
USR04699,SES04699,checkout,2025-10-24 20:27:39,Mobile,South,Social Media,Home,0.0,No
USR08601,SES08601,Add to Cart,2025-10-18 06:56:33,,East,Email,Fashion,0.0,Yes
USR07362,SES07362,CHECKOUT,2025-10-11 19:51:39,Mobile,East,Organic,Home,0.0,Yes
USR08192,SES08192,Purchase,2025-10-31 17:54:41,Desktop,West,Social Media,Beauty,270.21,No
USR08894,SES08894,Browse,2025-10-12 23:51:42,Tablet,West,Google Ads,Fashion,0.0,Yes
USR03781,SES03781,Purchase,2025-10-15 01:58:30,Desktop,,Google Ads,Beauty,517.98,No
USR08959,SES08959,checkout,2025-10-27 04:21:31,Tablet,South,Social Media,Beauty,0.0,Yes
USR03100,SES03100,Browse,2025-10-30 22:30:12,Mobile,,Social Media  ,Home,,No
USR07804,SES07804,PURCHASE,2025-10-25 20:04:50,Tablet,South,Google Ads,Fashion,,No
USR02485,SES02485,Checkout,10/20/2025,Desktop,North,Email,Sports,0.0,Yes
USR02889,SES02889,Add to Cart,2025-10-18 12:45:08,Tablet,South,Organic,Home,0.0,Yes
USR09416,SES09416,BROWSE,2025-10-25 20:28:37,Mobile,West,Organic,Fashion,0.0,Yes
USR03923,SES03923,Browse,2025-10-26 14:39:50,Tablet,,Google Ads,Sports,0.0,Yes
USR05557,SES05557,Browse,2025-10-08 18:37:24,Desktop,East,Organic,Home,,No
USR01977,SES01977,Browse,2025-10-18 21:49:33,Desktop,West,Email,Home,0.0,Yes
USR06527,SES06527,Browse,2025-10-16 20:43:48,Tablet,East,Organic,Fashion,0.0,Yes
USR08633,SES08633,Checkout,2025-10-12 01:02:06,Mobile,West,Social Media,Sports,0.0,Yes
USR06912,SES06912,Checkout,2025-10-08 09:57:38,Tablet,West,Google Ads,Fashion,0.0,Yes
USR06776,SES06776,Browse,2025-10-29 07:12:26,Desktop,South,Email,Fashion,0.0,Yes
USR01586,SES01586,Browse,2025-10-19 05:56:03,Desktop,North,Social Media,Fashion,0.0,Yes
USR02836,SES02836,browse,2025-10-30 03:32:52,Desktop,West,Google Ads,Electronics,0.0,Yes
USR03862,SES03862,CHECKOUT,2025-10-21 07:50:03,Desktop,East,Email,Home,0.0,Yes
USR07143,SES07143,Browse,2025-10-05 10:49:57,,East,Organic,Sports,0.0,Yes
USR00693,SES00693,Browse,2025-10-13 01:50:50,Tablet,,Social Media,Sports,0.0,Yes
USR06059,SES06059,Add to Cart,2025-10-25 14:02:10,Tablet,,Social Media,Fashion,0.0,Yes
